brand,car_age,price
BMW,7,31750.000000000015
Honda,17,28500.0
Acura,2,34997.99999999999
Ford,24,12749.0
Mercedes-Benz,21,18852.999999999993
Mercedes-Benz,18,104999.00000000003
INFINITI,18,16899.999999999985
Volkswagen,9,14500.000000000004
Dodge,3,53899.999999999985
Lincoln,6,47998.99999999998
Maserati,10,24900.00000000001
Tesla,2,93999.00000000006
Mercedes-Benz,7,108900.00000000009
Ford,7,34997.99999999999
Volkswagen,13,5000.000000000003
Bugatti,14,1950995.0000000012
Toyota,5,34084.000000000015
Honda,9,15598.999999999993
Jeep,8,31330.999999999978
Land,17,9900.000000000004
Acura,10,14500.000000000004
BMW,9,36799.999999999985
Polestar,4,35999.00000000002
BMW,9,35000.00000000001
Porsche,11,49750.00000000003
Lincoln,4,49000.000000000015
Cadillac,17,10500.000000000005
Cadillac,9,17999.000000000007
GMC,9,27994.99999999999
INFINITI,16,8750.000000000005
Ford,2,78498.99999999994
Cadillac,7,20850.0
Nissan,8,40999.99999999999
Mercedes-Benz,6,53800.00000000003
Toyota,17,37900.000000000015
Toyota,9,63499.99999999998
RAM,9,64999.999999999956
Lamborghini,18,100000.00000000003
Lincoln,14,8994.999999999993
Mercedes-Benz,2,105499.99999999993
Lamborghini,2,359990.99999999994
Alfa,3,75900.00000000001
Chevrolet,4,23994.999999999993
Toyota,32,29500.000000000007
Lamborghini,4,257000.00000000015
INFINITI,12,14999.99999999999
Maserati,8,33949.99999999999
Toyota,3,47498.00000000002
Nissan,3,50998.00000000003
Audi,2,42997.999999999985
Ford,3,94999.00000000006
Lincoln,6,46995.00000000001
Mercedes-Benz,3,62479.000000000044
RAM,3,47995.000000000015
Lincoln,21,14899.999999999993
Acura,3,39997.99999999999
Toyota,3,29999.000000000007
Honda,22,3899.9999999999973
Mercedes-Benz,11,25999.999999999985
Mazda,18,10999.999999999993
Porsche,6,62999.99999999995
Ford,10,22500.000000000015
Kia,8,18688.00000000001
INFINITI,15,16499.999999999993
